Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
PWR,Quanta Services,257.26,1.72,0.67%,257.04,256.245,7586,09:42 ET
PXD,Pioneer Natural Resources Company,257.98,-0.23,-0.09%,258.95,258.38,17847,09:46 ET
PYPL,Paypal Holdings,67.06,1.06,1.61%,66.97,66.5,354922,09:46 ET
QCOM,Qualcomm Inc,168.53,1.01,0.60%,168.5,167.74,186488,09:46 ET
QRVO,Qorvo Inc,114.5,0.75,0.66%,113.62,113.315,20941,09:45 ET
RCL,Royal Caribbean Cruises Ltd,136.74,0.47,0.34%,137.877,136.79,56309,09:46 ET
REG,Regency Centers Corp,59.05,-0.05,-0.08%,59.29,59.17,4794,09:45 ET
REGN,Regeneron Pharmaceuticals,962.52,1.43,0.15%,961.99,961.99,3258,09:45 ET
RF,Regions Financial Corp,20.05,0.1,0.50%,20.11,20.01,78021,09:46 ET
RHI,Robert Half Inc,78.26,-0.09,-0.11%,78.78,78.55,4236,09:44 ET
RJF,Raymond James Financial,126.73,0.27,0.21%,127.105,126.63,7930,09:46 ET
RL,Ralph Lauren Corp,183.78,0.9,0.49%,186.41,183.26,18559,09:45 ET
RMD,Resmed Inc,193.92,0.61,0.32%,193.71,192.99,8671,09:43 ET
ROK,Rockwell Automation Inc,285.46,3,1.06%,284.56,284.56,9767,09:45 ET
ROL,Rollins Inc,45.86,-0.04,-0.09%,45.9886,45.74,45687,09:46 ET
ROP,Roper Industries,549.61,-1.33,-0.24%,550.94,549.7,26462,09:45 ET
ROST,Ross Stores Inc,144.96,0.37,0.26%,144.42,144.07,30930,09:46 ET
RSG,Republic Services,189.46,-0.27,-0.14%,189.76,189.33,8632,09:46 ET
RTX,Rtx Corp,96.07,0.44,0.46%,95.75,95.6,49391,09:46 ET
RVTY,Revvity Inc,103.59,0.59,0.57%,103.21,102.98,2738,09:44 ET
SBAC,SBA Communications,216.91,-1.47,-0.67%,218.48,217.505,4294,09:44 ET
SBUX,Starbucks Corp,90.65,-0.02,-0.02%,91,90.73,103397,09:46 ET
SCHW,The Charles Schwab Corp,71.21,-0.12,-0.17%,71.53,71.39,57358,09:45 ET
